BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
14:CC:20:C7:CE:FE,2016-02-27 07:12:49,2016-02-27 07:12:57,5,54,WPA2 WPA,CCMP,PSK,-41,5,0,0.  0.  0.  0,9,Devil Dog,
D0:BF:9C:51:8E:3E,2016-02-27 07:12:51,2016-02-27 07:12:55,8,54,WPA2,CCMP,PSK,-38,5,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 07:12:49,2016-02-27 07:12:57,6,54,WPA2,CCMP TKIP,PSK,-29,2,305,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 07:12:49,2016-02-27 07:12:57,11,54,WPA2 WPA,CCMP TKIP,PSK,-28,4,4,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:0A,2016-02-27 07:12:49,2016-02-27 07:12:57,8,54,OPN,,,-14,8,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:08,2016-02-27 07:12:50,2016-02-27 07:12:56,8,54,WPA2,CCMP,PSK,-11,7,0,0.  0.  0.  0,6,Walrus,
74:85:2A:97:5B:09,2016-02-27 07:12:49,2016-02-27 07:12:57,8,54,WPA2 WPA,CCMP TKIP,PSK,-14,6,0,0.  0.  0.  0,0,,
FA:8F:CA:61:6E:4B,2016-02-27 07:12:57,2016-02-27 07:12:57,11,54,OPN,,,-54,1,0,0.  0.  0.  0,0,,
44:32:C8:D0:73:10,2016-02-27 07:12:57,2016-02-27 07:12:57,11,-1,WPA,,,-70,0,1,0.  0.  0.  0,0,,
C0:4A:00:77:F3:14,2016-02-27 07:12:57,2016-02-27 07:12:57,6,54,WPA2 WPA,CCMP,PSK,-70,1,0,0.  0.  0.  0,8,equinoks,
00:71:C2:AA:E5:72,2016-02-27 07:12:57,2016-02-27 07:12:57,6,54,OPN,,,-72,1,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:61:EE:2A,2016-02-27 07:12:58,2016-02-27 07:12:58,1,54,OPN,,,-64,2,0,0.  0.  0.  0,11,xfinitywifi,
